SINGH_NFE2L2_TARGETS,DepMap_ID
4405.846505,ACH-000828
4405.762055,ACH-000954
4392.3317436240895,ACH-000861
4391.65619,ACH-000811
4388.709929,ACH-000199
4388.546858011479,ACH-000098
4384.641117,ACH-000125
4378.334084,ACH-000916
4374.57548,ACH-000700
4373.421465,ACH-000224
4372.642446630661,ACH-000752
4372.055685,ACH-001494
4358.1502025236405,ACH-000240
4353.413962,ACH-000317
4339.328458,ACH-000219
4333.746522,ACH-000851
4326.677498897179,ACH-000742
4316.897870607279,ACH-000303
4315.565625066621,ACH-000348
4313.844342,ACH-000665
4309.82539,ACH-001190
4309.389103,ACH-001650
4306.845858787539,ACH-000086
4296.715784,ACH-000036
4286.0197973799495,ACH-000609
4283.188013,ACH-000022
4263.511325,ACH-000270
4259.380357,ACH-000539
4256.7080474063705,ACH-000540
4256.616609,ACH-000387
4255.608279719129,ACH-000733
4250.158819,ACH-000454
4244.432632,ACH-000444
4241.276915,ACH-000493
4240.6525108222495,ACH-000384
4238.047774,ACH-001624
4236.563383,ACH-000217
4236.406515,ACH-000714
4232.124552,ACH-000418
4230.019637425129,ACH-000481
4229.795936,ACH-000719
4224.980347708811,ACH-000986
4221.404866,ACH-000814
4218.030816,ACH-000526
4210.8405780617,ACH-000566
4210.010447,ACH-001645
4209.701497767171,ACH-000886
4209.232207,ACH-000725
4209.158873850321,ACH-000936
4207.861953,ACH-000708
4194.207348517751,ACH-000134
4185.875007673239,ACH-000305
4185.431572,ACH-000819
4178.230024,ACH-000465
4171.811822,ACH-000121
4171.717496952199,ACH-000761
4167.942479139329,ACH-000342
4166.413625,ACH-000537
4164.540821,ACH-001411
4157.2032699191295,ACH-001458
4148.33701657326,ACH-000963
4141.351724,ACH-000739
4140.097414,ACH-000785
4129.211413,ACH-000150
4127.813220460371,ACH-000067
4113.919385,ACH-000428
4111.879261,ACH-000325
4103.971598,ACH-000284
4101.9083919698405,ACH-000491
4101.393037,ACH-000023
4090.3418918430298,ACH-000720
4086.1955569068105,ACH-000894
4072.8137136703294,ACH-000756
4068.106083,ACH-000869
4067.218294,ACH-000985
4064.722338,ACH-001654
4058.140069,ACH-000025
4049.7738810697206,ACH-000273
4037.985805391,ACH-000764
4034.041434,ACH-000713
4033.439877,ACH-000154
4025.735462,ACH-000885
4022.19315399941,ACH-000516
4019.853637,ACH-001836
4016.9107770122296,ACH-000119
4014.907324,ACH-000211
4013.56610369838,ACH-000438
4011.279532,ACH-000563
4001.988579352871,ACH-001416
3999.999658,ACH-000547
3991.057324,ACH-000624
3988.140255,ACH-000840
3979.522241,ACH-000946
3978.0880602111497,ACH-000529
3975.478776,ACH-000722
3961.9013442642095,ACH-000788
3960.5751188332897,ACH-001232
3959.6586417834296,ACH-000820
3956.726014,ACH-000574
3953.57116676254,ACH-000775
3948.3332748604207,ACH-000721
3947.8818543981897,ACH-001521
3945.08500984672,ACH-000091
3939.22682592676,ACH-000165
3922.821821,ACH-000850
3917.630639,ACH-000975
3915.76278078038,ACH-000043
3914.9938715163103,ACH-000737
3914.152696,ACH-000531
3913.215799,ACH-000618
3908.6427113185705,ACH-000058
3906.754211,ACH-000994
3898.08920777966,ACH-000114
3893.3137980402,ACH-000825
3888.696909,ACH-000668
3887.2205067172704,ACH-000863
3886.651154,ACH-000229
3884.404363,ACH-000194
3881.235419,ACH-000035
3879.744266,ACH-000275
3878.8203184661897,ACH-000253
3878.05201997328,ACH-001390
3877.733946,ACH-000286
3876.747132,ACH-000950
3873.0309307244897,ACH-000906
3866.70823,ACH-001274
3858.13344,ACH-000216
3857.641753,ACH-000919
3856.4199973974296,ACH-001336
3855.183633,ACH-001379
3852.056207,ACH-000200
3849.9536440778206,ACH-000029
3847.107535,ACH-000834
3844.0618714399898,ACH-000088
3842.407006,ACH-000684
3836.17360263528,ACH-000037
3835.699566,ACH-000688
3827.639838,ACH-000131
3823.895199,ACH-000252
3822.059715,ACH-000857
3817.463322,ACH-000628
3816.30624,ACH-000983
3814.644205801421,ACH-000940
3805.578155,ACH-001559
3805.531172,ACH-000324
3801.7799021747496,ACH-001310
3792.161432,ACH-000941
3789.3555533339295,ACH-000347
3784.282533,ACH-000161
3781.9171712999114,ACH-001408
3781.565808,ACH-000356
3781.230281,ACH-000768
3781.2180768187104,ACH-000300
3775.694296,ACH-000320
3775.603554181721,ACH-000629
3772.247144840821,ACH-001536
3771.156796,ACH-000903
3769.901494,ACH-000644
3768.90527380782,ACH-000046
3768.80412408736,ACH-001415
3767.128208463929,ACH-000014
3752.595937,ACH-000082
3752.053470745921,ACH-000818
3751.01712935504,ACH-000998
3750.02154647018,ACH-001568
3749.565904,ACH-000280
3747.085432,ACH-000403
3742.146386,ACH-000760
3741.792433,ACH-000642
3737.48873,ACH-000639
